Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2015-06-29,241.8,243,235.2,241.6,238.4050609,221226,3125,52741398,31318,14.16,7.8,-0.2
2015-06-26,239,247,236.5,245.1,241.6908211,146543,2449,35418098,22518,15.37,10.5,6.1
2015-06-25,239,243.4,237.75,238.9,240.7634072,103993,2023,25037709,15640,15.04,5.65,-0.1
2015-06-24,243.1,243.45,236.2,240.35,239.4591708,197310,3042,47247689,41541,21.05,7.25,-2.75
2015-06-23,245.9,248,242.05,242.85,245.0899452,160898,2260,39434482,28375,17.64,5.95,-3.05
2015-06-22,241,247,241,244.9,244.323455,162950,2519,39812507,28009,17.19,6,3.9
2015-06-19,232.5,241.65,232.5,239.85,236.8629843,173075,2624,40995061,32803,18.95,9.15,7.35
2015-06-18,232,236.25,230.7,231.9,233.7390117,159670,2444,37321108,25977,16.27,5.55,-0.1
2015-06-17,229,233.4,228.3,231.8,231.2293895,141724,2203,32770754,24277,17.13,5.1,2.8
2015-06-16,229.85,229.85,222.8,228.45,226.2255984,138485,2049,31328852,17001,12.28,7.05,-1.4
2015-06-15,225.5,229.65,222.85,228.15,226.9200347,246607,3189,55960069,59736,24.22,6.8,2.65
2015-06-12,224,228.65,219.6,225.1,223.9025026,207503,3390,46460441,19479,9.39,9.05,1.1
2015-06-11,225.25,232.95,225.1,226.5,228.7349955,335349,5223,76706052,49438,14.74,7.85,1.25
2015-06-10,215.5,225.5,215.5,224,223.7197156,158803,2127,35527362,36863,23.21,10,8.5
2015-06-09,217.5,220.3,215,218.8,218.0160846,162267,2331,35376816,26552,16.36,5.3,1.3
2015-06-08,223,224.2,217,219.1,219.2404192,115257,2331,25268993,22558,19.57,7.2,-3.9
2015-06-05,226,227.35,221.7,223.5,224.2710432,187210,4005,41985782,18350,9.8,5.65,-2.5
2015-06-04,222,228.6,217.85,226.55,223.8226225,303494,4422,67928823,31431,10.36,10.75,4.55
2015-06-03,226.8,226.8,215,221.4,220.8431037,317866,4513,70198514,30496,9.59,11.8,-5.4
2015-06-02,237,239,218.7,225.9,227.3538174,479951,6489,109118692,109592,22.83,20.3,-11.1
2015-06-01,238,240.45,234.5,236,238.1336149,196520,3101,46798018,47085,23.96,5.95,-2
2015-05-29,237.4,239.9,234.1,237.95,237.3348665,149364,2645,35449285,25497,17.07,5.8,0.55
2015-05-28,237,241.45,235.05,236.1,238.7827341,245073,3735,58519201,26978,11.01,6.4,-0.9
2015-05-27,232.7,239,231.45,235.95,236.2894845,284941,4249,67328562,57676,20.24,7.55,3.25
2015-05-26,230,235.65,230,234.8,234.1302751,240161,4041,56228961,50167,20.89,5.65,4.8
2015-05-25,227.35,233.15,226,230.15,230.688156,204644,3018,47208947,45978,22.47,7.15,2.8
2015-05-22,229.95,231.25,225.3,227.35,227.876322,207927,3052,47381640,40548,19.5,5.95,-2.6
2015-05-21,221.4,232.5,218.25,229.95,227.9589432,489322,6593,111545326,96936,19.81,14.25,8.55
2015-05-20,223.3,224.35,219.5,220.2,221.3561931,147858,2003,32729284,49267,33.32,4.85,-3.1
2015-05-19,222.8,225.7,221.4,222,223.4367141,702826,3100,157037132,485582,69.09,4.3,-0.8
2015-05-18,222.9,225,219.35,224.15,222.3837608,178322,2841,39655917,40653,22.8,5.65,1.25
2015-05-15,225.25,227,219.8,221.4,223.1646979,179383,2243,40031953,46762,26.07,7.2,-3.85
2015-05-14,219,224.75,215.6,224.15,221.2807799,287663,5113,63654293,50324,17.49,9.15,5.15
2015-05-13,224.7,227,217.7,219.8,220.3074948,811952,4159,178879111,55319,6.81,9.3,-4.9
2015-05-12,228,230.85,221.05,222.45,224.7848516,293523,4260,65979524,34485,11.75,9.8,-5.55
2015-05-11,222,228,221.5,227.2,225.7423381,209022,2996,47185115,35313,16.89,6.5,5.2
2015-05-08,217.9,226.4,217.4,220.85,221.8353754,364411,9164,80839251,60209,16.52,9,2.95
2015-05-07,225,225,208.7,216.15,216.2864295,587656,18278,127102018,151236,25.74,16.3,-8.85
2015-05-06,240.3,240.3,225,226,229.5621099,386460,11850,88716573,65322,16.9,15.3,-14.3
2015-05-05,250.5,250.5,238.1,240.4,243.9866828,337759,10201,82408698,97495,28.87,12.4,-10.1
2015-05-04,238.25,250.6,236.25,249.35,244.8016995,424956,11837,104029951,81194,19.11,14.35,11.1
2015-04-30,238,241.2,233.5,235.6,237.1503373,559708,13235,132734941,96110,17.17,7.7,-2.4
2015-04-29,231.5,240,227.3,237.35,234.5348875,895177,22136,209950237,80829,9.03,12.7,5.85
2015-04-28,229.95,230.3,224.25,227.55,227.3795451,304612,8441,69262538,45037,14.79,6.05,-2.4
2015-04-27,234,235,220.7,228.25,226.3850235,342070,8485,77439525,49103,14.35,14.3,-5.75
2015-04-24,233,236.4,227,232.1,231.146172,349123,10929,80698445,66237,18.97,9.4,-0.9
2015-04-23,237.5,243.15,230.75,232.9,238.115291,312661,10702,74449365,43849,14.02,12.4,-4.6
2015-04-22,234.8,241,232.15,237.95,236.8938557,274513,10018,65030443,48631,17.72,8.85,3.15
2015-04-21,233,241.4,225.45,237.6,234.9658869,313223,9537,73596720,53751,17.16,15.95,4.6
2015-04-20,244.5,247.8,230.8,233.75,240.3871815,335672,8371,80691246,67643,20.15,17,-10.75
2015-04-17,245,249.35,237.45,244.6,243.5257245,409570,8947,99740831,134868,32.93,11.9,-0.4
2015-04-16,252.55,252.7,242.6,244.65,246.9722639,279852,7728,69115682,77367,27.65,10.1,-7.9
2015-04-15,259.85,259.85,250.4,251.4,255.4432776,1195472,4789,305375286,1057412,88.45,9.45,-8.45
2015-04-13,257.9,260.75,253.2,255.15,256.7448733,317556,10670,81530875,104146,32.8,7.55,-2.75
2015-04-10,251,257.85,250,256.75,255.0449535,262360,7493,66913594,77071,29.38,7.85,5.75
2015-04-09,253,253.5,248.75,250.7,250.5906484,265730,6884,66589453,88444,33.28,4.75,-2.3
2015-04-08,257.5,258.5,249.85,251.15,252.9529236,288956,8428,73092265,85986,29.76,8.65,-6.35
2015-04-07,252.25,258,251.9,255.4,255.0797258,230904,6342,58898929,51934,22.49,6.1,3.15
2015-04-06,255.65,257.15,247.5,252.2,251.8275413,366679,10114,92339871,89769,24.48,9.65,-3.45
2015-04-01,261.25,263.9,252.85,255.15,255.9024172,465789,11661,119196531,115638,24.83,11.05,-6.1
2015-03-31,265.15,268.9,261,263.75,264.5950618,220283,6516,58285794,58099,26.37,7.9,-1.4
2015-03-30,275.95,275.95,262.6,266.25,265.428994,299862,7665,79592069,89090,29.71,13.35,-9.7
2015-03-27,271.6,274.4,266,271.55,271.0792056,317490,10424,86064937,68848,21.69,8.4,-0.05
2015-03-26,258,270.6,252,266.05,264.8860009,324950,7889,86074706,113000,34.77,18.6,8.05
2015-03-25,260.5,261.8,256.35,259.1,258.3031066,206528,4960,53346824,68920,33.37,5.45,-1.4
2015-03-24,267.5,267.5,251.85,259.7,259.5073121,348671,7358,90482674,88829,25.48,15.65,-7.8
2015-03-23,268.4,270.9,262.2,266.2,265.3624797,256624,6628,68098381,78916,30.75,8.7,-2.2
