Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2016-04-08,2968,2968,2885.35,2920.3,2909.186899,16442,2270,47832851,1344,8.17,82.65,-47.7
2016-04-07,2985,2985.05,2942.5,2968.3,2962.843518,10097,1562,29915831,2395,23.72,42.55,-16.7
2016-04-06,2960,3005,2960,2983.55,2987.499219,10877,1763,32495029,1421,13.06,45,23.55
2016-04-05,2978,3009.9,2936.7,2956.25,2971.643212,66510,2762,197643990,4946,7.44,73.2,-21.75
2016-04-04,2970.05,2987.8,2948.05,2979.4,2971.741098,15979,2210,47485451,3183,19.92,39.75,9.35
2016-04-01,2939,2970,2923,2951.05,2949.895305,17145,1670,50575955,3042,17.74,47,12.05
2016-03-31,2920,2985,2919.1,2943.4,2951.66374,46354,4300,136821421,17662,38.1,65.9,23.4
2016-03-30,2858,2923.85,2858,2922.45,2919.371022,77796,2706,227115388,62000,79.7,65.85,64.45
2016-03-29,2848,2878.9,2836.3,2851.35,2860.445237,10801,1034,30895669,2533,23.45,42.6,3.35
2016-03-28,2872.2,2878.5,2832.2,2848.2,2852.087937,25052,2913,71450507,9478,37.83,46.3,-24
2016-03-23,2870,2914.5,2864,2870.35,2888.470192,42640,3753,123164369,10509,24.65,50.5,0.35
2016-03-22,2780,2899,2754.5,2866.75,2846.967825,106481,5011,303147981,56879,53.42,144.5,86.75
2016-03-21,2806,2823.95,2778.85,2802.75,2801.365212,54070,3594,151469817,31142,57.6,45.1,-3.25
2016-03-18,2828,2837.85,2795,2832.9,2829.058868,14626,1567,41377815,6584,45.02,42.85,4.9
2016-03-17,2810,2838,2807.45,2819.5,2824.812152,13841,1042,39098225,5403,39.04,30.55,9.5
2016-03-16,2820,2835,2763.5,2797.95,2802.25,24200,2085,67814450,7815,32.29,71.5,-22.05
2016-03-15,2815,2838,2807,2812.95,2826.280079,20280,1140,57316960,11422,56.32,31,-2.05
2016-03-14,2815.1,2833.45,2803.15,2817.15,2814.858252,16106,1625,45336107,6594,40.94,30.3,2.05
2016-03-11,2812,2839.8,2795,2810.5,2820.620757,37646,1752,106185089,23942,63.6,44.8,-1.5
2016-03-10,2827.7,2848.5,2797.75,2812.1,2814.02093,78546,4378,221030088,41606,52.97,50.75,-15.6
2016-03-09,2807.9,2828.75,2789,2816.95,2815.122595,16061,1595,45213684,7462,46.46,39.75,9.05
2016-03-08,2838,2850,2800,2809.9,2833.646812,323236,1805,915936661,313657,97.04,50,-28.1
2016-03-04,2817,2854.25,2788.95,2835.8,2831.140404,22300,2360,63134431,4324,19.39,65.3,18.8
2016-03-03,2810,2847.05,2810,2824.75,2829.522142,36582,3323,103509579,9970,27.25,37.05,14.75
2016-03-02,2681,2857.35,2681,2807.75,2823.191766,94897,7224,267912429,45522,47.97,176.35,126.75
2016-03-01,2508.5,2682,2506,2667,2617.57206,42097,4137,110191931,9627,22.87,176,158.5
2016-02-29,2570,2570,2473.85,2499.65,2516.96728,41198,4006,103694018,10625,25.79,96.15,-70.35
2016-02-26,2640,2646,2535.1,2557.15,2561.932216,14797,2256,37908911,3084,20.84,110.9,-82.85
2016-02-25,2621,2641.3,2593.25,2623.3,2610.082955,16503,1710,43074199,2682,16.25,48.05,2.3
2016-02-24,2660.3,2660.3,2610,2623.45,2635.40581,8743,1292,23041353,711,8.13,50.3,-36.85
2016-02-23,2705,2709.9,2655.4,2660.3,2670.504445,10237,1312,27337954,2078,20.3,54.5,-44.7
2016-02-22,2690.05,2730.1,2673.55,2705.95,2706.194106,19716,2382,53355323,4064,20.61,56.55,15.9
2016-02-19,2615,2712.85,2603,2704.85,2686.5575,59661,4857,160282707,30953,51.88,109.85,89.85
2016-02-18,2545,2630,2545,2620.95,2600.203687,17954,2572,46684057,4512,25.13,85,75.95
2016-02-17,2510.1,2534,2440,2523.9,2490.665189,19178,1673,47765977,5728,29.87,94,13.8
2016-02-16,2515.7,2567,2504,2508.45,2525.673458,19584,1821,49462789,5210,26.6,63,-7.25
2016-02-15,2514,2538.35,2491,2515.7,2509.73037,16174,1999,40592379,2323,14.36,47.35,1.7
2016-02-12,2525.55,2533.8,2454,2486.5,2499.335399,31464,2462,78639089,3592,11.42,79.8,-39.05
2016-02-11,2550.1,2561.4,2481,2498.45,2519.226017,12884,1600,32457708,2491,19.33,80.4,-51.65
2016-02-10,2569.6,2576,2545.8,2547.45,2549.354512,48509,471,123666638,43354,89.37,30.2,-22.15
2016-02-09,2549.85,2594.9,2518,2579.65,2569.059904,8163,741,20971236,2076,25.43,76.9,29.8
2016-02-08,2580.1,2585,2550,2568.1,2572.378549,7608,833,19570656,1917,25.2,35,-12
2016-02-05,2509,2590,2509,2578.05,2549.283312,53824,2728,137212625,39673,73.71,81,69.05
2016-02-04,2509,2525,2472.15,2510.5,2497.379703,9834,1342,24559232,1239,12.6,52.85,1.5
2016-02-03,2518,2541.9,2477,2484.7,2506.43827,10635,1061,26655971,1891,17.78,64.9,-33.3
2016-02-02,2535,2545.5,2510.25,2521.8,2525.75473,7347,910,18556720,692,9.42,35.25,-13.2
2016-02-01,2565.65,2568.75,2508.55,2535,2527.778324,45350,2139,114634747,24728,54.53,60.2,-30.65
2016-01-29,2442.15,2575,2442.15,2562.8,2523.236398,25677,2429,64789141,5986,23.31,132.85,120.65
2016-01-28,2489.1,2508.7,2430,2448.55,2477.263945,23880,3563,59157063,9234,38.67,78.7,-40.55
2016-01-27,2538.75,2539.05,2471,2482.05,2501.928237,16457,2833,41174233,6322,38.42,68.05,-56.7
2016-01-25,2595.2,2597.8,2497.55,2520.8,2531.781233,16753,2217,42414931,3024,18.05,100.25,-74.4
2016-01-22,2483.45,2600,2478.1,2586.05,2552.159668,17217,2550,43940533,3799,22.07,121.9,102.6
2016-01-21,2488,2539.95,2466,2473.5,2495.387389,23994,2794,59874325,5318,22.16,73.95,-14.5
2016-01-20,2470,2505.45,2458,2488.05,2483.106989,19273,2529,47856921,6835,35.46,47.45,18.05
2016-01-19,2448.8,2498.45,2448.8,2482.95,2476.865554,13061,1563,32350341,3247,24.86,49.65,34.15
2016-01-18,2425,2450,2375,2431.2,2410.746084,9385,1139,22624852,2194,23.38,75,6.2
2016-01-15,2449,2449,2410,2425.35,2430.612296,13175,1513,32023317,3619,27.47,39,-23.65
2016-01-14,2449,2467.95,2416.6,2433.1,2432.009507,36079,1922,87744471,23447,64.99,51.35,-15.9
2016-01-13,2478.45,2479.7,2421,2470.75,2459.784669,14220,1730,34978138,3512,24.7,58.7,-7.7
2016-01-12,2480,2500,2460,2469.55,2473.908678,12122,2156,29988721,3011,24.84,40,-10.45
2016-01-11,2488.95,2525,2456,2503.2,2489.300897,10811,1261,26911832,1551,14.35,69,14.25
2016-01-08,2529.75,2537.35,2484.25,2489,2501.043583,16199,1593,40514405,4625,28.55,53.1,-40.75
2016-01-07,2561.9,2573.7,2505.85,2513.15,2528.461018,9158,1203,23155646,1493,16.3,67.85,-48.75
2016-01-06,2640,2640,2577,2581.75,2600.039184,38434,1178,99929906,1527,3.97,63,-58.25
2016-01-05,2644.95,2655.25,2605.7,2621.05,2631.957506,9060,1183,23845535,1677,18.51,49.55,-23.9
2016-01-04,2665,2669.7,2635.45,2645.5,2652.420288,18523,2459,49130781,5666,30.59,34.25,-19.5
2016-01-01,2695,2696.05,2674,2687.85,2686.813677,8335,832,22394592,1365,16.38,22.05,-7.15
2015-12-31,2715,2717.9,2672.05,2695.25,2707.575745,63846,2163,172867881,52477,82.19,45.85,-19.75
2015-12-30,2720,2732.65,2707,2711.65,2718.626834,7498,722,20384264,2461,32.82,25.65,-8.35
2015-12-29,2692.05,2740,2692.05,2734.25,2725.518395,10220,1428,27854798,2583,25.27,47.95,42.2
2015-12-28,2691,2707.9,2688,2702.25,2699.879198,9081,943,24517603,2303,25.36,19.9,11.25
2015-12-24,2653.1,2695,2653.1,2689.7,2687.055657,8732,850,23463370,2379,27.24,41.9,36.6
2015-12-23,2675,2693,2662.2,2675.2,2677.16852,5305,643,14202379,395,7.45,30.8,0.2
2015-12-22,2710,2710,2662,2669,2686.55621,14268,1679,38331784,4841,33.93,48,-41
2015-12-21,2650,2705,2637.1,2695.8,2677.568207,10644,1586,28500036,2516,23.64,67.9,45.8
2015-12-18,2645,2662.85,2622.5,2641.6,2645.808785,11725,1583,31022108,2802,23.9,40.35,-3.4
2015-12-17,2615,2660,2603,2649.75,2631.39598,15771,1733,41499746,5670,35.95,57,34.75
2015-12-16,2585.4,2616,2573.9,2593.45,2596.279383,11801,1238,30638693,2953,25.02,42.1,8.05
2015-12-15,2500,2573.8,2500,2563.85,2545.202808,66960,1794,170426780,51968,77.61,73.8,63.85
2015-12-14,2523.3,2556,2501.7,2537.45,2516.234962,328351,1677,826208266,310003,94.41,54.3,14.15
2015-12-11,2562,2562,2516,2523.3,2535.497942,14578,1145,36962489,2999,20.57,46,-38.7
2015-12-10,2570,2574.8,2535.55,2545.6,2552.125162,13854,1508,35357142,3831,27.65,39.25,-24.4
2015-12-09,2600,2600,2534.9,2546.8,2561.593032,10190,1208,26102633,,,65.1,-53.2
2015-12-08,2621.35,2637.05,2586,2602.85,2610.166985,10983,838,28667464,2713,24.7,51.05,-18.5
2015-12-07,2630,2662.95,2611,2621.35,2634.244686,13078,1424,34450652,2549,19.49,51.95,-8.65
2015-12-04,2625,2633.95,2603.05,2617.15,2616.526748,7795,941,20395826,1506,19.32,30.9,-7.85
2015-12-03,2655,2680.05,2610.55,2618.35,2656.69333,68272,2311,181377767,58239,85.3,69.5,-36.65
2015-12-02,2674,2699.9,2666.75,2675.85,2681.676147,14275,1484,38280927,3777,26.46,33.15,1.85
2015-12-01,2710,2715.7,2668.35,2677.75,2689.827609,16451,1779,44250354,3954,24.04,47.35,-32.25
2015-11-30,2700.05,2732,2680.1,2702.65,2711.134404,23608,2867,64004461,7664,32.46,51.9,2.6
2015-11-27,2672,2714.05,2660.5,2704.15,2689.435661,17268,1744,46441175,2754,15.95,53.55,32.15
2015-11-26,2610,2698,2610,2680.8,2641.094123,690789,17150,1824438768,233465,33.8,88,70.8
2015-11-24,2659,2667.7,2631,2645.8,2648.76221,16666,1335,44144271,3739,22.43,36.7,-13.2
2015-11-23,2573.35,2664.5,2571.8,2637.25,2638.996121,42534,3887,112247061,9064,21.31,92.7,63.9
2015-11-20,2601.2,2638.95,2558,2563.65,2589.468538,46135,3238,119465131,14042,30.44,80.95,-37.55
2015-11-19,2609.9,2683.8,2580,2591.35,2645.305859,62313,5658,164836944,16963,27.22,103.8,-18.55
2015-11-18,2597.75,2604,2556.7,2571.85,2584.397152,18610,1182,48095631,5312,28.54,47.3,-25.9
2015-11-17,2604,2615.55,2574.85,2597.8,2594.250584,13277,1176,34443865,3251,24.49,40.7,-6.2
2015-11-16,2600.7,2643.8,2587,2611.45,2615.044113,11448,1014,29937025,1839,16.06,56.8,10.75
2015-11-13,2660,2664,2600.4,2610.95,2627.614025,5376,739,14126053,939,17.47,63.6,-49.05
2015-11-11,2675,2677.25,2634.4,2644.4,2646.356696,10715,813,28355712,5329,49.73,42.85,-30.6
2015-11-10,2637.9,2666,2605,2657.4,2650.515265,17131,1620,45405977,4124,24.07,61,19.5
2015-11-09,2615,2648.2,2605,2618.5,2620.95791,9242,999,24222893,1340,14.5,43.2,3.5
2015-11-06,2626.05,2666.8,2592.2,2632.9,2644.539086,24625,2221,65121775,5473,22.23,74.6,6.85
2015-11-05,2581,2659,2580,2638.6,2642.434916,29362,1803,77587174,7550,25.71,79,57.6
2015-11-04,2599,2632,2593,2614.4,2615.939384,14699,1689,38451693,2965,20.17,39,15.4
2015-11-03,2549.05,2596.55,2538.4,2583.75,2570.468204,14656,1423,37672782,2514,17.15,58.15,34.7
2015-11-02,2581,2584,2538.6,2549.1,2555.58684,8009,1048,20467695,1290,16.11,45.4,-31.9
2015-10-30,2611,2626.95,2568.05,2585,2602.493518,12650,1396,32921543,2033,16.07,58.9,-26
2015-10-29,2618,2635.95,2605.85,2625.75,2621.891151,7662,1065,20088930,1617,21.1,30.1,7.75
2015-10-28,2618.2,2631.9,2595.5,2623.55,2619.178551,6956,755,18219006,1345,19.34,36.4,5.35
2015-10-27,2619,2642,2587.2,2620.4,2610.522791,32688,1541,85332769,17836,54.56,54.8,1.4
2015-10-26,2590.1,2631,2590,2619.3,2617.971588,12530,1490,32803184,2855,22.79,41,29.2
2015-10-23,2625.35,2644.35,2581,2594.95,2610.993151,16499,1165,43078776,3122,18.92,63.35,-30.4
