Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2015-05-21,18568,18568,18312.1,18428.3,18424.30186,3972,1503,73181327,786,19.79,255.9,-139.7
2015-05-20,18201,18590,18115,18510.45,18373.52565,9065,3106,166556010,942,10.39,475,309.45
2015-05-19,18600,18850,18189,18275.85,18573.8235,24119,3268,447982049,15545,64.45,661,-324.15
2015-05-18,18700,19150.9,18305.45,18618.15,18667.12411,16066,5987,299906016,3616,22.51,845.45,-81.85
2015-05-15,18200,18788.9,18160,18707,18585.37632,12726,4569,236517499,1888,14.84,628.9,507
2015-05-14,18000,18460,17706.75,18190.25,18123.9111,13554,5421,245651491,1513,11.16,753.25,190.25
2015-05-13,17349,18327.45,17349,18062.7,17916.19243,20236,7541,362552070,3133,15.48,978.45,713.7
2015-05-12,16965,17269.1,16600,17121,16969.76271,14590,5158,247588838,1873,12.84,669.1,156
2015-05-11,15949,16962.1,15946,16865.3,16512.0238,23067,5929,380882853,7297,31.63,1016.1,916.3
2015-05-08,15185.5,15865,14740.55,15789,15411.78014,15633,10965,240932359,1323,8.46,1124.45,603.5
2015-05-07,14941.15,15090,14498.6,14796.2,14749.93001,6272,3930,92511561,1282,20.44,591.4,-144.95
2015-05-06,15548.45,15674.75,15000,15064.7,15330.51623,4560,3495,69907154,695,15.24,674.75,-483.75
2015-05-05,15431.9,15711,15293.55,15552.05,15552.97588,3192,2033,49645099,785,24.59,417.45,120.15
2015-05-04,15420,15490,15303.35,15337.55,15359.74737,1999,1389,30704135,443,22.16,186.65,-82.45
2015-04-30,15200,15300,15095,15217.85,15205.17274,3375,2574,51317458,658,19.5,205,17.85
2015-04-29,15200,15434.9,15146,15228.4,15254.30876,5616,2275,85668198,3017,53.72,288.9,28.4
2015-04-28,14768.05,15250,14680,15165.15,15061.8337,3614,2741,54433467,537,14.86,570,397.1
2015-04-27,14720,15079.55,13930,14784.95,14526.41251,8012,5057,116385617,1275,15.91,1149.55,64.95
2015-04-24,14901,14901,14487,14710.8,14664.37937,10420,4668,152802833,3290,31.57,414,-190.2
2015-04-23,14500,14827.4,14482.85,14774.35,14676.06488,4485,2793,65822151,1206,26.89,344.55,274.35
2015-04-22,14400,14459.9,14070.05,14377.3,14263.4317,4795,3047,68393155,1280,26.69,389.85,-22.7
2015-04-21,14762,14943.8,14163.65,14320.6,14594.84733,7310,4473,106688334,1963,26.85,780.15,-441.4
2015-04-20,15300,15300,14655.25,14762.5,14795.36388,6711,4591,99291687,2666,39.73,644.75,-537.5
2015-04-17,15999.9,15999.9,15200,15327.25,15533.7183,3841,2609,59665012,1021,26.58,799.9,-672.65
2015-04-16,16299,16350,15750,15837.45,16010.85695,5858,3688,93791600,1446,24.68,600,-461.55
2015-04-15,16055,16124.7,15806.6,15861.8,15959.16464,2381,1942,37998771,691,29.02,318.1,-193.2
2015-04-13,16141,16215,15933.3,16054.1,16123.47725,2527,1771,40744027,966,38.23,281.7,-86.9
2015-04-10,16273,16439,16134.25,16206.35,16267.58943,2762,1974,44931082,595,21.54,304.75,-66.65
2015-04-09,16650.1,16800,16280.05,16338.65,16446.91712,5140,3418,84537154,1152,22.41,519.95,-311.45
2015-04-08,16014,16550,15975.05,16501,16343.06565,6230,3542,101817299,1781,28.59,574.95,487
2015-04-07,15701.25,16039.85,15701.25,15950.4,15838.59001,7444,4006,117902464,2947,39.59,338.6,249.15
2015-04-06,16066.15,16066.15,15549.9,15763.7,15764.72133,4769,2910,75181956,1642,34.43,516.25,-302.45
2015-04-01,15868,16188.85,15850.05,16028.4,16020.20877,4402,2926,70520959,1052,23.9,338.8,160.4
2015-03-31,16147,16147,15815.95,15890.2,15991.85174,3514,2540,56195367,722,20.55,331.05,-256.8
2015-03-30,15600,16200,15580.55,16019.7,15842.47171,3199,2610,50680067,1053,32.92,619.45,419.7
2015-03-27,15650,15650,15108.65,15471.95,15347.71542,4143,2744,63585585,1180,28.48,541.35,-178.05
2015-03-26,15500,15725,15351.55,15584.75,15575.21348,3827,2681,59606342,1122,29.32,373.45,84.75
2015-03-25,15483,15640,15335.65,15551.25,15460.69817,3396,2436,52504531,973,28.65,304.35,68.25
2015-03-24,15843.2,15902.2,15475,15513.65,15643.35566,4285,2888,67031779,1142,26.65,427.2,-329.55
2015-03-23,16100,16129.15,15800,15843.2,15916.63243,2152,1487,34252593,503,23.37,329.15,-256.8
2015-03-20,16110,16182.7,15928.15,16002,16052.83722,2316,1600,37178371,487,21.03,254.55,-108
2015-03-19,16160.15,16301,16013.05,16079.95,16172.53782,3596,2305,58156446,789,21.94,287.95,-80.2
2015-03-18,15925.05,16205,15900,16043.45,16088.36671,4284,2468,68922563,1317,30.74,305,118.4
2015-03-17,15870.05,16054.7,15810,15935.7,15948.51542,3242,1687,51705087,1079,33.28,244.7,65.65
2015-03-16,15751.1,15907.9,15640,15803.25,15769.99757,3709,2270,58490921,902,24.32,267.9,52.15
2015-03-13,16285.1,16350,15810,15879.3,16022.02335,3384,2419,54218527,788,23.29,540,-405.8
2015-03-12,15925,16361,15925,16316.4,16235.72691,3552,2194,57669302,1134,31.93,436,391.4
2015-03-11,16000,16190,15900,16045.85,16036.42151,5160,2832,82747935,1252,24.26,290,45.85
2015-03-10,15660.5,16112.7,15660.5,15963.7,15897.22494,5766,3469,91663399,1280,22.2,452.2,303.2
